City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,nakasongola,63.4945,43.4522,275.5,96,100,4.22,RU,1697171739
120,luderitz,34.1121,37.9193,294.04,58,0,1.45,SY,1697171740
121,tamanrasset,30.9766,36.6671,291.45,59,0,3.61,JO,1697171741
122,las khorey,53.2417,129.1433,286.01,48,60,3.76,RU,1697171741
123,dakhla,3.3858,-75.2383,296.61,57,31,1.11,CO,1697171742
124,nurota,20.019,-77.2583,297.31,93,99,2.0,CU,1697171742
125,nesebar,65.2723,59.5007,273.4,76,100,1.8,RU,1697171742
126,dryden,59.2135,-137.9909,276.54,92,100,4.38,US,1697171743
127,turuntayevo,53.1352,49.7818,279.77,53,100,7.22,RU,1697171743
128,sept-iles,46.1812,100.5785,283.53,26,0,4.28,MN,1697171744
129,bardai,69.5882,74.5478,273.15,92,100,3.77,RU,1697171745
130,remire-montjoly,42.2569,131.6223,290.13,59,73,4.55,RU,1697171745
131,tabuk,-3.261,40.1517,297.3,94,20,0.0,KE,1697171746
132,shirdi,30.7795,1.4479,291.03,45,0,5.77,DZ,1697171746
133,zag,42.9484,59.6578,284.86,53,8,2.16,UZ,1697171746
134,sao vicente,-37.5526,140.4308,287.2,78,100,5.65,AU,1697171748
135,ribeira brava,21.2792,-155.5739,298.61,74,1,6.15,US,1697171749
136,nalut,19.6688,-96.7672,291.13,97,77,2.08,MX,1697171750
137,ha'il,61.4452,50.8502,277.98,86,100,4.98,RU,1697171751
138,yarmouth,25.5958,52.0197,305.35,56,4,3.11,QA,1697171751
139,ramadi,23.201,44.6221,301.22,13,0,1.86,SA,1697171752
140,tindouf,34.9965,125.2136,292.59,62,100,0.97,KR,1697171753
141,manggar,36.6422,10.4081,291.02,54,0,0.58,TN,1697171754
142,radhanpur,68.6338,61.8422,273.58,68,100,7.16,RU,1697171755
143,hulan ergi,12.0411,169.2779,301.39,76,100,4.4,MH,1697171755
144,baotou,10.0863,-9.4726,293.7,98,80,1.28,GN,1697171755
145,karachi,-22.94,46.6546,295.21,69,63,1.91,MG,1697171756
146,bubaque,40.1778,21.4608,281.18,73,0,1.35,GR,1697171757
147,kingscliff,-39.305,144.4336,286.37,86,97,9.85,AU,1697171758
148,sidney,60.736,137.7072,269.87,93,100,1.07,RU,1697171759
149,papao,66.1048,-151.274,263.09,96,100,2.15,US,1697171760
150,isangel,46.4957,35.9079,287.2,55,67,3.62,UA,1697171761
151,galesong,51.0376,-60.5804,280.6,96,100,3.59,CA,1697171761
152,al qusayr,39.4341,128.1186,290.48,64,100,0.93,KP,1697171762
153,kataragama,14.3781,122.5826,301.85,78,85,5.3,PH,1697171762
154,pauini,53.4972,45.399,282.46,56,100,6.38,RU,1697171764
155,coronel suarez,46.5242,93.6597,280.08,28,4,2.09,MN,1697171764
156,pechora,-29.4754,133.728,297.57,15,0,3.92,AU,1697171765
157,swan hill,68.4276,164.9465,266.96,87,100,1.38,RU,1697171766
158,barra do garcas,0.3275,35.525,282.37,80,90,2.09,KE,1697171766
159,gaalkacyo,-28.2544,17.5342,284.59,77,47,1.05,ZA,1697171767
160,mukalla,45.4202,-53.7893,288.61,90,100,6.88,CA,1697171767
161,capayan,37.2311,-84.8749,288.55,78,0,2.18,US,1697171768
162,villa yapacani,37.8381,9.4832,297.72,66,0,1.54,TN,1697171768
163,santa elena de uairen,-33.8785,-56.6426,276.11,89,0,2.21,UY,1697171768
164,el bauga,-2.9935,36.1601,298.38,56,74,3.25,TZ,1697171770
165,hafar al-batin,43.7997,124.8793,293.07,39,77,3.7,CN,1697171770
166,hudson,-19.5659,-61.6469,289.08,67,61,4.09,PY,1697171771
167,figuig (centre),48.75,-96.0293,277.1,61,75,4.29,US,1697171771
168,vylkove,11.9347,75.8868,301.74,57,44,0.85,IN,1697171772
169,bloemfontein,43.6684,-110.9485,275.02,88,75,5.66,US,1697171773
