City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,sile,41.1754,29.6133,23.37,56,2,1.34,TR,1697203022
242,crane,31.3974,-102.3501,17.54,15,0,4.74,US,1697203022
243,taylor,32.3001,-99.8337,16.96,40,0,7.2,US,1697202975
244,melilla,35.2937,-2.9383,29.11,65,40,3.09,ES,1697203022
245,tabou,4.423,-7.3528,27.05,79,100,3.0,CI,1697203023
246,kavaratti,10.5669,72.642,28.49,69,29,0.75,IN,1697203023
247,pori,61.4833,21.7833,10.04,62,0,4.12,FI,1697203023
248,rio preto da eva,-2.6994,-59.6997,31.37,48,85,0.92,BR,1697203023
249,rongelap,11.1635,166.8941,28.24,74,100,4.42,MH,1697203024
250,puerto carreno,6.189,-67.4859,30.42,63,12,2.68,CO,1697202989
251,machico,32.7,-16.7667,28.96,78,20,5.14,PT,1697203024
252,shakhtersk,48.0625,38.5167,13.56,50,100,4.05,UA,1697203024
253,cam ranh,11.9214,109.1591,27.98,83,40,3.09,VN,1697203024
254,manay,7.215,126.5397,26.33,87,100,2.83,PH,1697203025
255,bonny,4.4522,7.1681,28.74,74,84,4.28,NG,1697203025
256,borgarnes,64.5383,-21.9206,1.03,59,37,6.21,IS,1697203025
257,tura,25.5198,90.2201,22.11,80,0,1.14,IN,1697203025
258,bubaque,11.2833,-15.8333,27.04,79,100,4.7,GW,1697203026
259,rudnichnyy,59.617,52.4703,6.06,81,100,6.56,RU,1697203026
260,leh,34.1667,77.5833,9.73,23,7,2.64,IN,1697203026
261,puerto aysen,-45.4,-72.7,7.22,90,100,1.16,CL,1697203027
262,nioki,-2.7167,17.6833,31.69,51,100,0.24,CD,1697203027
263,itoman,26.1247,127.6694,26.01,62,20,6.69,JP,1697202728
264,westport,41.1415,-73.3579,13.83,70,0,5.14,US,1697202804
265,las tablas,7.7667,-80.2833,28.51,76,73,1.03,PA,1697203027
266,asipovichy,53.2933,28.6422,13.81,51,79,3.71,BY,1697203028
267,inhambane,-23.865,35.3833,26.99,89,0,7.72,MZ,1697203028
268,sirte,31.2089,16.5887,25.24,56,0,3.47,LY,1697203028
269,crystal city,28.6775,-99.8281,22.06,100,100,1.54,US,1697203029
270,kavalerovo,44.2661,135.0572,13.08,78,4,2.24,RU,1697203029
271,inarajan village,13.2736,144.7484,27.54,92,100,5.37,GU,1697203029
272,rudsar,37.1376,50.288,19.99,82,44,3.23,IR,1697203029
273,guledagudda,16.05,75.8,30.4,30,85,3.99,IN,1697203030
274,ixtapa,20.7,-105.2,22.9,92,7,1.58,MX,1697203030
275,volosovo,59.4333,29.4833,9.33,72,100,4.24,RU,1697203030
276,sonoita,31.85,-112.8333,18.72,54,1,1.63,MX,1697203031
277,toliara,-23.35,43.6667,28.23,64,4,5.67,MG,1697203031
278,ancud,-41.8697,-73.8203,8.92,69,6,0.95,CL,1697203031
279,reggane,26.7158,0.1714,34.04,14,100,4.41,DZ,1697203032
280,ghadamis,30.1337,9.5007,30.97,19,0,2.66,LY,1697203032
281,pisco,-13.7,-76.2167,19.03,77,2,0.51,PE,1697203032
282,namtsy,62.7161,129.6658,-2.2,65,17,5.25,RU,1697203032
283,isangel,-19.55,169.2667,22.78,87,100,5.44,VU,1697203033
284,kodiak,57.79,-152.4072,-3.27,86,0,3.09,US,1697203033
285,bandon,51.7469,-8.7425,12.77,68,0,8.78,IE,1697203034
286,nishinoomote,30.7333,131.0,23.78,67,83,7.25,JP,1697203034
287,alcantara,-2.4089,-44.4147,30.11,70,98,5.15,BR,1697203034
288,trairi,-3.2778,-39.2689,31.21,55,39,7.16,BR,1697202744
